origin_code,origin_airport,origin_city,origin_state,dest_code,dest_airport,dest_city,dest_state,count
RSW,Southwest Florida International Airport,Ft. Myers,FL,HPN,Westchester County Airport,White Plains,NY,334
IMT,Ford Airport,Iron Mountain/Kingsford,MI,MSP,Minneapolis-Saint Paul International Airport,Minneapolis,MN,334
FLL,Fort Lauderdale-Hollywood International Airport,Ft. Lauderdale,FL,LBE,Arnold Palmer Regional Airport,Latrobe,PA,275
MSP,Minneapolis-Saint Paul International Airport,Minneapolis,MN,OKC,Will Rogers World Airport,Oklahoma City,OK,371
SJU,Luis Muñoz Marín International Airport,San Juan,PR,CLT,Charlotte Douglas International Airport,Charlotte,NC,713
HNL,Honolulu International Airport,Honolulu,HI,SMF,Sacramento International Airport,Sacramento,CA,334
AZO,Kalamazoo/Battle Creek International Airport,Kalamazoo,MI,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,17
BLI,Bellingham International Airport,Bellingham,WA,OGG,Kahului Airport,Kahului,HI,89
GSP,Greenville-Spartanburg International Airport,Greer,SC,LGA,LaGuardia Airport (Marine Air Terminal),New York,NY,8
MEM,Memphis International Airport,Memphis,TN,CVG,Cincinnati/Northern Kentucky International Airport,Covington,KY,107
PVD,Theodore Francis Green State Airport,Providence,RI,RSW,Southwest Florida International Airport,Ft. Myers,FL,49
MHT,Manchester-Boston Regional Airport,Manchester,NH,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,1
LGB,Long Beach Airport (Daugherty Field),Long Beach,CA,ANC,Ted Stevens Anchorage International Airport,Anchorage,AK,118
AUS,Austin-Bergstrom International Airport,Austin,TX,DFW,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,4674
EWR,Newark Liberty International Airport,Newark,NJ,IAH,George Bush Intercontinental Airport,Houston,TX,3340
TPA,Tampa International Airport,Tampa,FL,DEN,Denver International Airport,Denver,CO,1586
MKE,General Mitchell International Airport,Milwaukee,WI,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,3156
TUS,Tucson International Airport,Tucson,AZ,DEN,Denver International Airport,Denver,CO,1879
PBI,Palm Beach International Airport,West Palm Beach,FL,HPN,Westchester County Airport,White Plains,NY,1042
MDW,Chicago Midway International Airport,Chicago,IL,SEA,Seattle-Tacoma International Airport,Seattle,WA,1028
DFW,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,RSW,Southwest Florida International Airport,Ft. Myers,FL,1166
ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,GSO,Piedmont Triad International Airport,Greensboro,NC,2667
DEN,Denver International Airport,Denver,CO,BHM,Birmingham-Shuttlesworth International Airport,Birmingham,AL,330
FLL,Fort Lauderdale-Hollywood International Airport,Ft. Lauderdale,FL,MDW,Chicago Midway International Airport,Chicago,IL,1154
IAD,Washington Dulles International Airport,Chantilly,VA,ORF,Norfolk International Airport,Norfolk,VA,81
IAD,Washington Dulles International Airport,Chantilly,VA,PVD,Theodore Francis Green State Airport,Providence,RI,61
SDF,Louisville International Airport (Standiford Field),Louisville,KY,EWR,Newark Liberty International Airport,Newark,NJ,737
SLC,Salt Lake City International Airport,Salt Lake City,UT,GTF,Great Falls International Airport,Great Falls,MT,887
LAS,McCarran International Airport,Las Vegas,NV,SDF,Louisville International Airport (Standiford Field),Louisville,KY,342
SLC,Salt Lake City International Airport,Salt Lake City,UT,RAP,Rapid City Regional Airport,Rapid City,SD,421
ANC,Ted Stevens Anchorage International Airport,Anchorage,AK,KOA,Kona International Airport at Keahole,Kailua/Kona,HI,44
SJU,Luis Muñoz Marín International Airport,San Juan,PR,CLE,Cleveland Hopkins International Airport,Cleveland,OH,43
IAD,Washington Dulles International Airport,Chantilly,VA,ROA,Roanoke Regional Airport (Woodrum Field),Roanoke,VA,5
ALB,Albany International Airport,Albany,NY,MSP,Minneapolis-Saint Paul International Airport,Minneapolis,MN,201
BDL,Bradley International Airport,Windsor Locks,CT,IAH,George Bush Intercontinental Airport,Houston,TX,3
LAS,McCarran International Airport,Las Vegas,NV,MSP,Minneapolis-Saint Paul International Airport,Minneapolis,MN,2543
SFO,San Francisco International Airport,San Francisco,CA,ORD,Chicago O'Hare International Airport,Chicago,IL,7380
TUL,Tulsa International Airport,Tulsa,OK,DFW,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,2629
MIA,Miami International Airport,Miami,FL,EWR,Newark Liberty International Airport,Newark,NJ,2714
ORD,Chicago O'Hare International Airport,Chicago,IL,CLT,Charlotte Douglas International Airport,Charlotte,NC,4755
STL,St. Louis International Airport at Lambert Field,St Louis,MO,ORD,Chicago O'Hare International Airport,Chicago,IL,2785
ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,DEN,Denver International Airport,Denver,CO,4987
BDL,Bradley International Airport,Windsor Locks,CT,DTW,Detroit Metropolitan Airport,Detroit,MI,1364
KTN,Ketchikan International Airport,Ketchikan,AK,WRG,Wrangell Airport,Wrangell,AK,332
DEN,Denver International Airport,Denver,CO,ONT,Ontario International Airport,Ontario,CA,1160
DEN,Denver International Airport,Denver,CO,TPA,Tampa International Airport,Tampa,FL,1588
LAS,McCarran International Airport,Las Vegas,NV,ICT,Wichita Dwight D. Eisenhower National Airport (Wichita Mid-Continent Airport),Wichita,KS,334
BMI,Central Illinois Regional Airport at Bloomington-Normal,Bloomington,IL,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,877
MCI,Kansas City International Airport,Kansas City,MO,LAX,Los Angeles International Airport,Los Angeles,CA,981
ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,CRW,Yeager Airport,Charleston,WV,1314
IAD,Washington Dulles International Airport,Chantilly,VA,STL,St. Louis International Airport at Lambert Field,St Louis,MO,9
BWI,Baltimore-Washington International Airport,Baltimore,MD,BUF,Buffalo Niagara International Airport,Buffalo,NY,1803
ORH,Worcester Regional Airport,Worcester,MA,FLL,Fort Lauderdale-Hollywood International Airport,Ft. Lauderdale,FL,331
MIA,Miami International Airport,Miami,FL,SEA,Seattle-Tacoma International Airport,Seattle,WA,344
IAD,Washington Dulles International Airport,Chantilly,VA,ROC,Greater Rochester International Airport,Rochester,NY,116
MIA,Miami International Airport,Miami,FL,TUL,Tulsa International Airport,Tulsa,OK,47
MCI,Kansas City International Airport,Kansas City,MO,MIA,Miami International Airport,Miami,FL,205
SLC,Salt Lake City International Airport,Salt Lake City,UT,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,2549
MCI,Kansas City International Airport,Kansas City,MO,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,1827
SJT,San Angelo Regional Airport (Mathis Field),San Angelo,TX,DFW,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,1628
CIU,Chippewa County International Airport,Sault Ste. Marie,MI,DTW,Detroit Metropolitan Airport,Detroit,MI,613
DFW,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,CID,The Eastern Iowa Airport,Cedar Rapids,IA,1027
STL,St. Louis International Airport at Lambert Field,St Louis,MO,EWR,Newark Liberty International Airport,Newark,NJ,1864
DEN,Denver International Airport,Denver,CO,ISN,Sloulin Field International Airport,Williston,ND,1158
HOU,William P. Hobby Airport,Houston,TX,MSY,Louis Armstrong New Orleans International Airport,New Orleans,LA,3049
GSO,Piedmont Triad International Airport,Greensboro,NC,LGA,LaGuardia Airport (Marine Air Terminal),New York,NY,1295
STL,St. Louis International Airport at Lambert Field,St Louis,MO,HOU,William P. Hobby Airport,Houston,TX,1226
BNA,Nashville International Airport,Nashville,TN,BOS,Gen. Edward Lawrence Logan International Airport,Boston,MA,638
IAH,George Bush Intercontinental Airport,Houston,TX,CLE,Cleveland Hopkins International Airport,Cleveland,OH,1166
GGG,East Texas Regional Airport,Longview,TX,DFW,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,643
LGA,LaGuardia Airport (Marine Air Terminal),New York,NY,CMH,Port Columbus International Airport,Columbus,OH,1439
MIA,Miami International Airport,Miami,FL,STX,Henry E. Rohlsen Airport,Christiansted,VI,536
LGA,LaGuardia Airport (Marine Air Terminal),New York,NY,MKE,General Mitchell International Airport,Milwaukee,WI,1214
MCO,Orlando International Airport,Orlando,FL,RIC,Richmond International Airport,Richmond,VA,685
IAD,Washington Dulles International Airport,Chantilly,VA,DTW,Detroit Metropolitan Airport,Detroit,MI,697
LEX,Blue Grass Airport,Lexington,KY,LGA,LaGuardia Airport (Marine Air Terminal),New York,NY,42
SEA,Seattle-Tacoma International Airport,Seattle,WA,JAC,Jackson Hole Airport,Jackson,WY,23
BUF,Buffalo Niagara International Airport,Buffalo,NY,MSP,Minneapolis-Saint Paul International Airport,Minneapolis,MN,197
DTW,Detroit Metropolitan Airport,Detroit,MI,ITH,Ithaca Tompkins Regional Airport,Ithaca,NY,35
STL,St. Louis International Airport at Lambert Field,St Louis,MO,ECP,Northwest Florida Beaches International Airport,Panama City,FL,164
ORF,Norfolk International Airport,Norfolk,VA,MSP,Minneapolis-Saint Paul International Airport,Minneapolis,MN,94
MSP,Minneapolis-Saint Paul International Airport,Minneapolis,MN,GTF,Great Falls International Airport,Great Falls,MT,305
ROC,Greater Rochester International Airport,Rochester,NY,LGA,LaGuardia Airport (Marine Air Terminal),New York,NY,189
PBI,Palm Beach International Airport,West Palm Beach,FL,BWI,Baltimore-Washington International Airport,Baltimore,MD,968
DFW,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,MLI,Quad City International Airport,Moline,IL,940
DCA,Ronald Reagan Washington National Airport,Arlington,VA,BDL,Bradley International Airport,Windsor Locks,CT,661
DTW,Detroit Metropolitan Airport,Detroit,MI,MSP,Minneapolis-Saint Paul International Airport,Minneapolis,MN,2645
ORD,Chicago O'Hare International Airport,Chicago,IL,BMI,Central Illinois Regional Airport at Bloomington-Normal,Bloomington,IL,959
SYR,Syracuse Hancock International Airport,Syracuse,NY,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,963
DAY,James M. Cox Dayton International Airport,Dayton,OH,MCO,Orlando International Airport,Orlando,FL,348
BWI,Baltimore-Washington International Airport,Baltimore,MD,IND,Indianapolis International Airport,Indianapolis,IN,1028
TTN,Trenton Mercer Airport,Trenton,NJ,PBI,Palm Beach International Airport,West Palm Beach,FL,57
MAF,Midland International Airport,Midland,TX,LAS,McCarran International Airport,Las Vegas,NV,559
SAN,San Diego International Airport (Lindbergh Field),San Diego,CA,SAT,San Antonio International Airport,San Antonio,TX,626
SAT,San Antonio International Airport,San Antonio,TX,MDW,Chicago Midway International Airport,Chicago,IL,689
BOS,Gen. Edward Lawrence Logan International Airport,Boston,MA,MCI,Kansas City International Airport,Kansas City,MO,606
BWI,Baltimore-Washington International Airport,Baltimore,MD,SFO,San Francisco International Airport,San Francisco,CA,292
LGA,LaGuardia Airport (Marine Air Terminal),New York,NY,EYW,Key West International Airport,Key West,FL,1
DTW,Detroit Metropolitan Airport,Detroit,MI,BMI,Central Illinois Regional Airport at Bloomington-Normal,Bloomington,IL,136
SAT,San Antonio International Airport,San Antonio,TX,MIA,Miami International Airport,Miami,FL,206
JFK,John F. Kennedy International Airport (New York International Airport),New York,NY,PIT,Pittsburgh International Airport,Pittsburgh,PA,158
BIL,Billings Logan International Airport,Billings,MT,ORD,Chicago O'Hare International Airport,Chicago,IL,46
SFO,San Francisco International Airport,San Francisco,CA,CLT,Charlotte Douglas International Airport,Charlotte,NC,1818
SBN,South Bend International Airport (South Bend Regional),South Bend,IN,ORD,Chicago O'Hare International Airport,Chicago,IL,1144
DTW,Detroit Metropolitan Airport,Detroit,MI,MIA,Miami International Airport,Miami,FL,1198
SAN,San Diego International Airport (Lindbergh Field),San Diego,CA,MDW,Chicago Midway International Airport,Chicago,IL,1171
IAD,Washington Dulles International Airport,Chantilly,VA,MSP,Minneapolis-Saint Paul International Airport,Minneapolis,MN,591
BDL,Bradley International Airport,Windsor Locks,CT,MIA,Miami International Airport,Miami,FL,376
SAN,San Diego International Airport (Lindbergh Field),San Diego,CA,JFK,John F. Kennedy International Airport (New York International Airport),New York,NY,1712
BHM,Birmingham-Shuttlesworth International Airport,Birmingham,AL,DFW,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,614
DFW,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,BNA,Nashville International Airport,Nashville,TN,2751
IAH,George Bush Intercontinental Airport,Houston,TX,BWI,Baltimore-Washington International Airport,Baltimore,MD,993
FLL,Fort Lauderdale-Hollywood International Airport,Ft. Lauderdale,FL,MSY,Louis Armstrong New Orleans International Airport,New Orleans,LA,935
MIA,Miami International Airport,Miami,FL,EGE,Eagle County Regional Airport,Eagle,CO,126
LBB,Lubbock Preston Smith International Airport,Lubbock,TX,AUS,Austin-Bergstrom International Airport,Austin,TX,320
CLT,Charlotte Douglas International Airport,Charlotte,NC,DCA,Ronald Reagan Washington National Airport,Arlington,VA,2456
SLC,Salt Lake City International Airport,Salt Lake City,UT,JFK,John F. Kennedy International Airport (New York International Airport),New York,NY,1839
PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,PSP,Palm Springs International Airport,Palm Springs,CA,1722
LGA,LaGuardia Airport (Marine Air Terminal),New York,NY,SAV,Savannah/Hilton Head International Airport,Savannah,GA,443
PSP,Palm Springs International Airport,Palm Springs,CA,PDX,Portland International Airport,Portland,OR,278
SLC,Salt Lake City International Airport,Salt Lake City,UT,GJT,Grand Junction Regional Airport (Walker Field),Grand Junction,CO,617
SLC,Salt Lake City International Airport,Salt Lake City,UT,OMA,Eppley Airfield,Omaha,NE,480
CLT,Charlotte Douglas International Airport,Charlotte,NC,BDL,Bradley International Airport,Windsor Locks,CT,1621
ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,BQK,Brunswick Golden Isles Airport,Brunswick,GA,878
ORD,Chicago O'Hare International Airport,Chicago,IL,RNO,Reno/Tahoe International Airport,Reno,NV,376
ORD,Chicago O'Hare International Airport,Chicago,IL,GSP,Greenville-Spartanburg International Airport,Greer,SC,835
CHS,Charleston International Airport/Charleston AFB,Charleston,SC,IAD,Washington Dulles International Airport,Chantilly,VA,4
MCO,Orlando International Airport,Orlando,FL,MSN,Dane County Regional Airport,Madison,WI,17
PHL,Philadelphia International Airport,Philadelphia,PA,BWI,Baltimore-Washington International Airport,Baltimore,MD,7
ACY,Atlantic City International Airport,Atlantic City,NJ,ORD,Chicago O'Hare International Airport,Chicago,IL,147
FAT,Fresno Yosemite International Airport,Fresno,CA,PDX,Portland International Airport,Portland,OR,99
MKE,General Mitchell International Airport,Milwaukee,WI,ORD,Chicago O'Hare International Airport,Chicago,IL,4826
ORD,Chicago O'Hare International Airport,Chicago,IL,RSW,Southwest Florida International Airport,Ft. Myers,FL,1827
ACY,Atlantic City International Airport,Atlantic City,NJ,PBI,Palm Beach International Airport,West Palm Beach,FL,155
CLT,Charlotte Douglas International Airport,Charlotte,NC,MCO,Orlando International Airport,Orlando,FL,2957
BWI,Baltimore-Washington International Airport,Baltimore,MD,SAN,San Diego International Airport (Lindbergh Field),San Diego,CA,711
DFW,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,BWI,Baltimore-Washington International Airport,Baltimore,MD,1774
MDW,Chicago Midway International Airport,Chicago,IL,MSY,Louis Armstrong New Orleans International Airport,New Orleans,LA,874
SLC,Salt Lake City International Airport,Salt Lake City,UT,CPR,Natrona County International Airport,Casper,WY,818
CNY,Canyonlands Field,Moab,UT,SLC,Salt Lake City International Airport,Salt Lake City,UT,206
OKC,Will Rogers World Airport,Oklahoma City,OK,IAD,Washington Dulles International Airport,Chantilly,VA,6
IND,Indianapolis International Airport,Indianapolis,IN,JFK,John F. Kennedy International Airport (New York International Airport),New York,NY,154
RDU,Raleigh-Durham International Airport,Raleigh,NC,MDW,Chicago Midway International Airport,Chicago,IL,1069
EWR,Newark Liberty International Airport,Newark,NJ,AVL,Asheville Regional Airport,Asheville,NC,174
DEN,Denver International Airport,Denver,CO,BDL,Bradley International Airport,Windsor Locks,CT,346
STL,St. Louis International Airport at Lambert Field,St Louis,MO,TTN,Trenton Mercer Airport,Trenton,NJ,3
SAN,San Diego International Airport (Lindbergh Field),San Diego,CA,KOA,Kona International Airport at Keahole,Kailua/Kona,HI,115
DCA,Ronald Reagan Washington National Airport,Arlington,VA,CMH,Port Columbus International Airport,Columbus,OH,290
MCI,Kansas City International Airport,Kansas City,MO,LNK,Lincoln Airport (Lincoln Municipal),Lincoln,NE,1
LGA,LaGuardia Airport (Marine Air Terminal),New York,NY,MTJ,Montrose Regional Airport,Montrose,CO,2
FAI,Fairbanks International Airport,Fairbanks,AK,SEA,Seattle-Tacoma International Airport,Seattle,WA,1316
LGA,LaGuardia Airport (Marine Air Terminal),New York,NY,DFW,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,4520
DEN,Denver International Airport,Denver,CO,DTW,Detroit Metropolitan Airport,Detroit,MI,2682
RSW,Southwest Florida International Airport,Ft. Myers,FL,EWR,Newark Liberty International Airport,Newark,NJ,1371
MSP,Minneapolis-Saint Paul International Airport,Minneapolis,MN,LAS,McCarran International Airport,Las Vegas,NV,2545
MFE,McAllen-Miller International Airport (McAllen Miller International),McAllen,TX,IAH,George Bush Intercontinental Airport,Houston,TX,1957
IAH,George Bush Intercontinental Airport,Houston,TX,GPT,Gulfport-Biloxi International Airport,Gulfport-Biloxi,MS,1257
STL,St. Louis International Airport at Lambert Field,St Louis,MO,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,2128
PDX,Portland International Airport,Portland,OR,MCI,Kansas City International Airport,Kansas City,MO,333
CLT,Charlotte Douglas International Airport,Charlotte,NC,EWR,Newark Liberty International Airport,Newark,NJ,4120
SAT,San Antonio International Airport,San Antonio,TX,JFK,John F. Kennedy International Airport (New York International Airport),New York,NY,264
MCI,Kansas City International Airport,Kansas City,MO,MSP,Minneapolis-Saint Paul International Airport,Minneapolis,MN,1904
TPA,Tampa International Airport,Tampa,FL,IAH,George Bush Intercontinental Airport,Houston,TX,1778
IND,Indianapolis International Airport,Indianapolis,IN,IAD,Washington Dulles International Airport,Chantilly,VA,23
ORD,Chicago O'Hare International Airport,Chicago,IL,MTJ,Montrose Regional Airport,Montrose,CO,118
DAL,Dallas Love Field,Dallas,TX,ABQ,Albuquerque International Sunport,Albuquerque,NM,1572
OKC,Will Rogers World Airport,Oklahoma City,OK,LAS,McCarran International Airport,Las Vegas,NV,667
SLC,Salt Lake City International Airport,Salt Lake City,UT,COD,Yellowstone Regional Airport,Cody,WY,340
SFO,San Francisco International Airport,San Francisco,CA,MKE,General Mitchell International Airport,Milwaukee,WI,380
MSN,Dane County Regional Airport,Madison,WI,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,893
SLC,Salt Lake City International Airport,Salt Lake City,UT,IDA,Idaho Falls Regional Airport,Idaho Falls,ID,1323
CLT,Charlotte Douglas International Airport,Charlotte,NC,ALB,Albany International Airport,Albany,NY,705
DCA,Ronald Reagan Washington National Airport,Arlington,VA,STL,St. Louis International Airport at Lambert Field,St Louis,MO,973
MDW,Chicago Midway International Airport,Chicago,IL,RSW,Southwest Florida International Airport,Ft. Myers,FL,1181
DEN,Denver International Airport,Denver,CO,TYS,McGhee Tyson Airport,Knoxville,TN,285
EGE,Eagle County Regional Airport,Eagle,CO,IAH,George Bush Intercontinental Airport,Houston,TX,135
LAS,McCarran International Airport,Las Vegas,NV,FLL,Fort Lauderdale-Hollywood International Airport,Ft. Lauderdale,FL,1033
DSM,Des Moines International Airport,Des Moines,IA,SLC,Salt Lake City International Airport,Salt Lake City,UT,75
ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,OAK,Oakland International Airport,Oakland,CA,64
DTW,Detroit Metropolitan Airport,Detroit,MI,MHT,Manchester-Boston Regional Airport,Manchester,NH,376
CLT,Charlotte Douglas International Airport,Charlotte,NC,GSO,Piedmont Triad International Airport,Greensboro,NC,143
MCO,Orlando International Airport,Orlando,FL,JFK,John F. Kennedy International Airport (New York International Airport),New York,NY,5346
EWR,Newark Liberty International Airport,Newark,NJ,LAX,Los Angeles International Airport,Los Angeles,CA,4603
BUF,Buffalo Niagara International Airport,Buffalo,NY,FLL,Fort Lauderdale-Hollywood International Airport,Ft. Lauderdale,FL,588
IAD,Washington Dulles International Airport,Chantilly,VA,CVG,Cincinnati/Northern Kentucky International Airport,Covington,KY,75
FLL,Fort Lauderdale-Hollywood International Airport,Ft. Lauderdale,FL,MSP,Minneapolis-Saint Paul International Airport,Minneapolis,MN,612
SMF,Sacramento International Airport,Sacramento,CA,LGB,Long Beach Airport (Daugherty Field),Long Beach,CA,661
IND,Indianapolis International Airport,Indianapolis,IN,MSP,Minneapolis-Saint Paul International Airport,Minneapolis,MN,971
BWI,Baltimore-Washington International Airport,Baltimore,MD,PWM,Portland International Jetport,Portland,ME,998
IAH,George Bush Intercontinental Airport,Houston,TX,JAN,Jackson-Evers International Airport,Jackson,MS,1943
SAT,San Antonio International Airport,San Antonio,TX,PHL,Philadelphia International Airport,Philadelphia,PA,231
BNA,Nashville International Airport,Nashville,TN,MDW,Chicago Midway International Airport,Chicago,IL,2084
DEN,Denver International Airport,Denver,CO,LIT,Bill and Hillary Clinton National Airport (Adams Field),Little Rock,AR,625
PHF,Newport News/Williamsburg International Airport,Newport News,VA,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,1260
DTW,Detroit Metropolitan Airport,Detroit,MI,BNA,Nashville International Airport,Nashville,TN,1994
RSW,Southwest Florida International Airport,Ft. Myers,FL,CMH,Port Columbus International Airport,Columbus,OH,489
SLC,Salt Lake City International Airport,Salt Lake City,UT,TUL,Tulsa International Airport,Tulsa,OK,288
EWR,Newark Liberty International Airport,Newark,NJ,PDX,Portland International Airport,Portland,OR,324
MCI,Kansas City International Airport,Kansas City,MO,HOU,William P. Hobby Airport,Houston,TX,601
MHT,Manchester-Boston Regional Airport,Manchester,NH,DTW,Detroit Metropolitan Airport,Detroit,MI,381
MCI,Kansas City International Airport,Kansas City,MO,LGA,LaGuardia Airport (Marine Air Terminal),New York,NY,708
CVG,Cincinnati/Northern Kentucky International Airport,Covington,KY,RDU,Raleigh-Durham International Airport,Raleigh,NC,12
CLE,Cleveland Hopkins International Airport,Cleveland,OH,CHS,Charleston International Airport/Charleston AFB,Charleston,SC,11
LAX,Los Angeles International Airport,Los Angeles,CA,MSP,Minneapolis-Saint Paul International Airport,Minneapolis,MN,3091
SEA,Seattle-Tacoma International Airport,Seattle,WA,SJC,Norman Y. Mineta San José International Airport,San Jose,CA,4029
BOS,Gen. Edward Lawrence Logan International Airport,Boston,MA,FLL,Fort Lauderdale-Hollywood International Airport,Ft. Lauderdale,FL,2188
RNO,Reno/Tahoe International Airport,Reno,NV,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,1723
GRR,Gerald R. Ford International Airport,Grand Rapids,MI,DFW,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,772
EWR,Newark Liberty International Airport,Newark,NJ,SEA,Seattle-Tacoma International Airport,Seattle,WA,1491
RNO,Reno/Tahoe International Airport,Reno,NV,DFW,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,748
EWR,Newark Liberty International Airport,Newark,NJ,CLE,Cleveland Hopkins International Airport,Cleveland,OH,1593
GRR,Gerald R. Ford International Airport,Grand Rapids,MI,ORD,Chicago O'Hare International Airport,Chicago,IL,2820
DEN,Denver International Airport,Denver,CO,BWI,Baltimore-Washington International Airport,Baltimore,MD,1899
DTW,Detroit Metropolitan Airport,Detroit,MI,SAN,San Diego International Airport (Lindbergh Field),San Diego,CA,707
IAH,George Bush Intercontinental Airport,Houston,TX,ELP,El Paso International Airport,El Paso,TX,1544
BWI,Baltimore-Washington International Airport,Baltimore,MD,BHM,Birmingham-Shuttlesworth International Airport,Birmingham,AL,592
ELP,El Paso International Airport,El Paso,TX,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,1451
LAX,Los Angeles International Airport,Los Angeles,CA,CMH,Port Columbus International Airport,Columbus,OH,588
DEN,Denver International Airport,Denver,CO,RNO,Reno/Tahoe International Airport,Reno,NV,1373
OMA,Eppley Airfield,Omaha,NE,LAS,McCarran International Airport,Las Vegas,NV,833
CDV,Merle K. (Mudhole) Smith Airport,Cordova,AK,YAK,Yakutat Airport,Yakutat,AK,331
SMF,Sacramento International Airport,Sacramento,CA,BOS,Gen. Edward Lawrence Logan International Airport,Boston,MA,49
TVC,Cherry Capital Airport,Traverse City,MI,EWR,Newark Liberty International Airport,Newark,NJ,28
DCA,Ronald Reagan Washington National Airport,Arlington,VA,PNS,Pensacola International Airport (Pensacola Gulf Coast Regional Airport),Pensacola,FL,10
PNS,Pensacola International Airport (Pensacola Gulf Coast Regional Airport),Pensacola,FL,DCA,Ronald Reagan Washington National Airport,Arlington,VA,10
SFO,San Francisco International Airport,San Francisco,CA,DFW,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,4555
BQN,Rafael Hernández Airport,Aguadilla,PR,EWR,Newark Liberty International Airport,Newark,NJ,291
BWI,Baltimore-Washington International Airport,Baltimore,MD,MIA,Miami International Airport,Miami,FL,1098
BOS,Gen. Edward Lawrence Logan International Airport,Boston,MA,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,4682
RDU,Raleigh-Durham International Airport,Raleigh,NC,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,4712
DFW,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,CLT,Charlotte Douglas International Airport,Charlotte,NC,4044
JFK,John F. Kennedy International Airport (New York International Airport),New York,NY,RSW,Southwest Florida International Airport,Ft. Myers,FL,1230
MCO,Orlando International Airport,Orlando,FL,CLT,Charlotte Douglas International Airport,Charlotte,NC,2957
ORF,Norfolk International Airport,Norfolk,VA,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,2673
SFO,San Francisco International Airport,San Francisco,CA,SBP,San Luis Obispo County Regional Airport (McChesney Field),San Luis Obispo,CA,1043
MSP,Minneapolis-Saint Paul International Airport,Minneapolis,MN,TPA,Tampa International Airport,Tampa,FL,1070
BWI,Baltimore-Washington International Airport,Baltimore,MD,DAY,James M. Cox Dayton International Airport,Dayton,OH,695
SEA,Seattle-Tacoma International Airport,Seattle,WA,ABQ,Albuquerque International Sunport,Albuquerque,NM,408
DEN,Denver International Airport,Denver,CO,BUR,Bob Hope Airport (Hollywood Burbank Airport),Burbank,CA,1255
MSP,Minneapolis-Saint Paul International Airport,Minneapolis,MN,GRR,Gerald R. Ford International Airport,Grand Rapids,MI,1128
FSM,Fort Smith Regional Airport,Fort Smith,AR,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,672
TUL,Tulsa International Airport,Tulsa,OK,EWR,Newark Liberty International Airport,Newark,NJ,3
DTW,Detroit Metropolitan Airport,Detroit,MI,TVC,Cherry Capital Airport,Traverse City,MI,757
PIT,Pittsburgh International Airport,Pittsburgh,PA,IAH,George Bush Intercontinental Airport,Houston,TX,902
PSC,Tri-Cities Airport,Pasco,WA,SFO,San Francisco International Airport,San Francisco,CA,364
BRO,Brownsville/South Padre Island International Airport,Brownsville,TX,DFW,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,1059
SAN,San Diego International Airport (Lindbergh Field),San Diego,CA,DFW,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,3299
FSD,Sioux Falls Regional Airport,Sioux Falls,SD,DEN,Denver International Airport,Denver,CO,1333
DAL,Dallas Love Field,Dallas,TX,BWI,Baltimore-Washington International Airport,Baltimore,MD,1094
EUG,Eugene Airport (Mahlon Sweet Field),Eugene,OR,LAX,Los Angeles International Airport,Los Angeles,CA,513
